target,source,relation
ncbigene:2950,drugname:busulfan,targets
ncbigene:4524,drugname:busulfan,targets
ncbigene:2581,drugname:busulfan,targets
ncbigene:5644,drugname:busulfan,targets
ncbigene:3683,drugname:busulfan,targets
ncbigene:1185,drugname:busulfan,targets
ncbigene:25,drugname:busulfan,targets
ncbigene:613,drugname:busulfan,targets
ncbigene:132,drugname:busulfan,targets
ncbigene:2539,drugname:busulfan,targets
ncbigene:6462,drugname:busulfan,targets
ncbigene:7066,drugname:busulfan,targets
wikipathways:WP678,ncbigene:2950,isParticipantIn
wikipathways:WP2884,ncbigene:2950,isParticipantIn
wikipathways:WP2882,ncbigene:2950,isParticipantIn
wikipathways:WP410,ncbigene:2950,isParticipantIn
wikipathways:WP702,ncbigene:2950,isParticipantIn
wikipathways:WP3612,ncbigene:2950,isParticipantIn
wikipathways:WP1533,ncbigene:4524,isParticipantIn
wikipathways:WP3940,ncbigene:4524,isParticipantIn
wikipathways:WP1495,ncbigene:4524,isParticipantIn
wikipathways:WP241,ncbigene:4524,isParticipantIn
wikipathways:WP1601,ncbigene:4524,isParticipantIn
wikipathways:WP2190,ncbigene:4524,isParticipantIn
wikipathways:WP15,ncbigene:4524,isParticipantIn
wikipathways:WP2525,ncbigene:4524,isParticipantIn
wikipathways:WP1589,ncbigene:4524,isParticipantIn
wikipathways:WP176,ncbigene:4524,isParticipantIn
wikipathways:WP185,ncbigene:3683,isParticipantIn
wikipathways:WP306,ncbigene:3683,isParticipantIn
wikipathways:WP3932,ncbigene:3683,isParticipantIn
wikipathways:WP2864,ncbigene:25,isParticipantIn
wikipathways:WP2516,ncbigene:25,isParticipantIn
wikipathways:WP2038,ncbigene:25,isParticipantIn
wikipathways:WP1984,ncbigene:25,isParticipantIn
wikipathways:WP1545,ncbigene:25,isParticipantIn
wikipathways:WP2446,ncbigene:25,isParticipantIn
wikipathways:WP437,ncbigene:25,isParticipantIn
wikipathways:WP673,ncbigene:25,isParticipantIn
wikipathways:WP2377,ncbigene:25,isParticipantIn
wikipathways:WP710,ncbigene:25,isParticipantIn
wikipathways:WP2272,ncbigene:25,isParticipantIn
wikipathways:WP707,ncbigene:25,isParticipantIn
wikipathways:WP1742,ncbigene:25,isParticipantIn
wikipathways:WP179,ncbigene:25,isParticipantIn
wikipathways:WP1530,ncbigene:25,isParticipantIn
wikipathways:WP134,ncbigene:2539,isParticipantIn
wikipathways:WP2005,ncbigene:2539,isParticipantIn
wikipathways:WP2884,ncbigene:2539,isParticipantIn
wikipathways:WP1946,ncbigene:2539,isParticipantIn
wikipathways:WP2882,ncbigene:2539,isParticipantIn
wikipathways:WP2877,ncbigene:2539,isParticipantIn
wikipathways:WP2002,ncbigene:2539,isParticipantIn
wikipathways:WP2003,ncbigene:2539,isParticipantIn
wikipathways:WP3878,ncbigene:2539,isParticipantIn
wikipathways:WP100,ncbigene:2539,isParticipantIn
wikipathways:WP2004,ncbigene:2539,isParticipantIn
wikipathways:WP692,ncbigene:2539,isParticipantIn
ncbigene:2053,wikipathways:WP678,hasGeneId
ncbigene:1351,wikipathways:WP678,hasGeneId
ncbigene:1558,wikipathways:WP678,hasGeneId
ncbigene:9377,wikipathways:WP678,hasGeneId
ncbigene:2950,wikipathways:WP678,hasGeneId
ncbigene:1559,wikipathways:WP678,hasGeneId
ncbigene:1573,wikipathways:WP678,hasGeneId
ncbigene:11182,wikipathways:WP2884,hasGeneId
ncbigene:200010,wikipathways:WP2884,hasGeneId
ncbigene:11254,wikipathways:WP2884,hasGeneId
ncbigene:874,wikipathways:WP2884,hasGeneId
ncbigene:155184,wikipathways:WP2884,hasGeneId
ncbigene:645,wikipathways:WP2884,hasGeneId
ncbigene:283848,wikipathways:WP2884,hasGeneId
ncbigene:9588,wikipathways:WP2884,hasGeneId
ncbigene:22949,wikipathways:WP2884,hasGeneId
ncbigene:66035,wikipathways:WP2884,hasGeneId
ncbigene:11182,wikipathways:WP2882,hasGeneId
ncbigene:3895,wikipathways:WP2882,hasGeneId
ncbigene:6594,wikipathways:WP2882,hasGeneId
ncbigene:874,wikipathways:WP2882,hasGeneId
ncbigene:1831,wikipathways:WP2882,hasGeneId
ncbigene:283848,wikipathways:WP2882,hasGeneId
ncbigene:51426,wikipathways:WP2882,hasGeneId
ncbigene:66035,wikipathways:WP2882,hasGeneId
ncbigene:79571,wikipathways:WP2882,hasGeneId
ncbigene:22949,wikipathways:WP2882,hasGeneId
ncbigene:8341,wikipathways:WP410,hasGeneId
ncbigene:3301,wikipathways:WP410,hasGeneId
ncbigene:51582,wikipathways:WP410,hasGeneId
ncbigene:1982,wikipathways:WP410,hasGeneId
ncbigene:4618,wikipathways:WP410,hasGeneId
ncbigene:9444,wikipathways:WP410,hasGeneId
ncbigene:11335,wikipathways:WP410,hasGeneId
ncbigene:26059,wikipathways:WP410,hasGeneId
ncbigene:11030,wikipathways:WP410,hasGeneId
ncbigene:5507,wikipathways:WP410,hasGeneId
ncbigene:55226,wikipathways:WP702,hasGeneId
ncbigene:23563,wikipathways:WP702,hasGeneId
ncbigene:9955,wikipathways:WP702,hasGeneId
ncbigene:373156,wikipathways:WP702,hasGeneId
ncbigene:56548,wikipathways:WP702,hasGeneId
ncbigene:9953,wikipathways:WP702,hasGeneId
ncbigene:8534,wikipathways:WP702,hasGeneId
ncbigene:8514,wikipathways:WP702,hasGeneId
ncbigene:79807,wikipathways:WP702,hasGeneId
ncbigene:80218,wikipathways:WP702,hasGeneId
ncbigene:4835,wikipathways:WP3612,hasGeneId
ncbigene:9429,wikipathways:WP3612,hasGeneId
ncbigene:2052,wikipathways:WP3612,hasGeneId
ncbigene:2950,wikipathways:WP3612,hasGeneId
ncbigene:368,wikipathways:WP3612,hasGeneId
ncbigene:9817,wikipathways:WP3612,hasGeneId
ncbigene:2730,wikipathways:WP3612,hasGeneId
ncbigene:2729,wikipathways:WP3612,hasGeneId
ncbigene:140809,wikipathways:WP3612,hasGeneId
ncbigene:1066,wikipathways:WP3612,hasGeneId
ncbigene:6948,wikipathways:WP1533,hasGeneId
ncbigene:8029,wikipathways:WP1533,hasGeneId
ncbigene:3039,wikipathways:WP1533,hasGeneId
ncbigene:213,wikipathways:WP1533,hasGeneId
ncbigene:84693,wikipathways:WP1533,hasGeneId
ncbigene:6947,wikipathways:WP1533,hasGeneId
ncbigene:326625,wikipathways:WP1533,hasGeneId
ncbigene:4036,wikipathways:WP1533,hasGeneId
ncbigene:2694,wikipathways:WP1533,hasGeneId
ncbigene:4594,wikipathways:WP1533,hasGeneId
ncbigene:1757,wikipathways:WP3940,hasGeneId
ncbigene:27232,wikipathways:WP3940,hasGeneId
ncbigene:23743,wikipathways:WP3940,hasGeneId
ncbigene:2880,wikipathways:WP3940,hasGeneId
ncbigene:55500,wikipathways:WP3940,hasGeneId
ncbigene:2882,wikipathways:WP3940,hasGeneId
ncbigene:51380,wikipathways:WP3940,hasGeneId
ncbigene:10390,wikipathways:WP3940,hasGeneId
ncbigene:29958,wikipathways:WP3940,hasGeneId
ncbigene:1036,wikipathways:WP3940,hasGeneId
ncbigene:6472,wikipathways:WP1495,hasGeneId
ncbigene:4524,wikipathways:WP1495,hasGeneId
ncbigene:6470,wikipathways:WP1495,hasGeneId
ncbigene:6948,wikipathways:WP241,hasGeneId
ncbigene:2745,wikipathways:WP241,hasGeneId
ncbigene:10840,wikipathways:WP241,hasGeneId
ncbigene:275,wikipathways:WP241,hasGeneId
ncbigene:10841,wikipathways:WP241,hasGeneId
ncbigene:25902,wikipathways:WP241,hasGeneId
ncbigene:471,wikipathways:WP241,hasGeneId
ncbigene:2346,wikipathways:WP241,hasGeneId
ncbigene:10588,wikipathways:WP241,hasGeneId
ncbigene:123263,wikipathways:WP241,hasGeneId
ncbigene:51733,wikipathways:WP1601,hasGeneId
ncbigene:10864,wikipathways:WP1601,hasGeneId
ncbigene:23583,wikipathways:WP1601,hasGeneId
ncbigene:978,wikipathways:WP1601,hasGeneId
ncbigene:5471,wikipathways:WP1601,hasGeneId
ncbigene:83549,wikipathways:WP1601,hasGeneId
ncbigene:151531,wikipathways:WP1601,hasGeneId
ncbigene:1807,wikipathways:WP1601,hasGeneId
ncbigene:7083,wikipathways:WP1601,hasGeneId
ncbigene:7371,wikipathways:WP1601,hasGeneId
ncbigene:4524,wikipathways:WP2190,hasGeneId
ncbigene:1733,wikipathways:WP15,hasGeneId
ncbigene:7001,wikipathways:WP15,hasGeneId
ncbigene:10549,wikipathways:WP15,hasGeneId
ncbigene:55163,wikipathways:WP15,hasGeneId
ncbigene:51714,wikipathways:WP15,hasGeneId
ncbigene:348303,wikipathways:WP15,hasGeneId
ncbigene:6415,wikipathways:WP15,hasGeneId
ncbigene:10935,wikipathways:WP15,hasGeneId
ncbigene:9403,wikipathways:WP15,hasGeneId
ncbigene:25824,wikipathways:WP15,hasGeneId
ncbigene:26227,wikipathways:WP2525,hasGeneId
ncbigene:10768,wikipathways:WP2525,hasGeneId
ncbigene:275,wikipathways:WP2525,hasGeneId
ncbigene:441024,wikipathways:WP2525,hasGeneId
ncbigene:29947,wikipathways:WP2525,hasGeneId
ncbigene:5723,wikipathways:WP2525,hasGeneId
ncbigene:4522,wikipathways:WP2525,hasGeneId
ncbigene:200895,wikipathways:WP2525,hasGeneId
