"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
2.43995623694807e-32,41,"446","Ubiquitin-like protein transferase activity ","TMEM129 NHLRC1 TOPORS CHFR UBE2K UBE2S FBXL5 RNF128 RNF122 RNF144B HERC5 RNF185 PELI2 CBLC RNF217 ATG10 RNF111 RNF180 RNF139 UBE2C SPSB4 RNF186 TTC3 UBE2G2 UBE2L3 KLHL42 RBBP6 TRAF7 MARCH6 FBXO4 RCHY1 RNF187 ZNRF1 ZFP91 RNFT1 SH3RF2 SUMO2 COP1 SH3RF3 FBXO2 FBXO22"
4.33209128216509e-31,39,"420","Ubiquitin-protein transferase activity ","TMEM129 NHLRC1 CHFR UBE2K UBE2S FBXL5 RNF128 RNF122 RNF144B RNF185 PELI2 CBLC RNF217 RNF111 RNF180 RNF139 UBE2C SPSB4 RNF186 TTC3 UBE2G2 UBE2L3 KLHL42 RBBP6 TRAF7 MARCH6 FBXO4 RCHY1 RNF187 ZNRF1 ZFP91 RNFT1 TOPORS HERC5 SH3RF2 COP1 SH3RF3 FBXO2 FBXO22"
1.68986642912012e-29,74,"2429","Catalytic activity, acting on a protein ","TMEM129 NHLRC1 TOPORS MAP4K3 MAP4K5 MUSK USP13 CHFR ARAF UBE2K CDC14B STRADB UBE2S USP5 PASK FBXL5 RNF128 RNF122 RNF144B DUSP5 HERC5 RNF185 PELI2 CBLC MAP3K6 RNF217 ATG10 PHKG2 RNF111 BRAF NEK10 RNF180 PHKG1 RNF139 UBE2C SPSB4 RPS6KB2 RNF186 TTC3 UBE2G2 UBE2L3 STRADA PPP2R5A KLHL42 MMD EPM2A USP4 RBBP6 DYRK2 TRAF7 MARCH6 FBXO4 RCHY1 RNF187 ZNRF1 ZFP91 RNFT1 TRIB2 CAMKK2 PRKAG3 PRKD3 TMEM59 PPP1R3D KSR1 SH3RF2 PPP1R3B MST1 SUMO2 STK40 COP1 SH3RF3 PPP1R3E FBXO2 FBXO22"
1.9793829788532e-26,72,"2560","Transferase activity ","TMEM129 NHLRC1 TOPORS MAP4K3 MAP4K5 MUSK DGKG DGKA CHFR ARAF UBE2K STRADB DGKH UBE2S PASK FBXL5 RNF128 RNF122 DGKB RNF144B HERC5 RNF185 PELI2 CBLC MAP3K6 RNF217 DGKZ ATG10 DGKE PHKG2 RNF111 BRAF NEK10 RNF180 PHKG1 RNF139 UBE2C SPSB4 RPS6KB2 RNF186 TTC3 UBE2G2 UBE2L3 STRADA DGKK KLHL42 MMD PRKD3 RBBP6 DYRK2 TRAF7 MARCH6 FBXO4 RCHY1 RNF187 ZNRF1 ZFP91 RNFT1 TRIB2 CAMKK2 PRKAG3 TMTC3 KSR1 COP1 TRPT1 SH3RF2 SH3RF3 CKS1B SUMO2 STK40 FBXO2 FBXO22"
6.16765814029054e-20,24,"234","Kinase regulator activity ","DBF4 CCNY FAM20A GPRC5D CCNC CISH CKS2 RPLP1 ETAA1 CCNL1 GPRC5C CKS1B TCL1B MTCP1 CCNL2 CCNQ SPDYA MLST8 MOB1B STRADA TRIB2 TOM1L1 DAZAP2 FAF1"
1.69660629544633e-19,24,"246","Ubiquitin protein ligase activity ","TMEM129 RNF128 RNF122 RNF144B RNF185 PELI2 CBLC RNF217 RNF111 RNF180 RNF139 NHLRC1 UBE2K ZNRF1 RNFT1 TOPORS CHFR RBBP6 FBXO4 SH3RF2 RNF186 COP1 SH3RF3 MARCH6"
2.57930546217158e-19,24,"252","Ubiquitin-like protein ligase activity ","TMEM129 RNF128 RNF122 RNF144B RNF185 PELI2 CBLC RNF217 RNF111 RNF180 RNF139 NHLRC1 UBE2K ZNRF1 RNFT1 TOPORS CHFR RBBP6 FBXO4 SH3RF2 RNF186 COP1 SH3RF3 MARCH6"
3.00347286796705e-19,60,"2353","Enzyme binding ","DBF4 TRIB2 CKS2 SHC2 RNF144B RNF185 FANCI CBLC SPOPL RNF217 SH3RF2 RNF180 CKS1B MTA1 UBE2L3 SUMO2 TCL1B MTCP1 MAGEC2 PRKAG3 JTB DOK7 FAF1 MAGEA2 DNAJC10 DOCK3 CCNY BAG2 CNPPD1 PPP1R3D KSR1 CACUL1 PHKG2 BRAF SPDYA PHKG1 PPP1R3B MST1 FIZ1 DAZAP2 RASSF5 DET1 USP13 PPP2R5A UBE2K MAPRE3 TELO2 CDK2AP1 RBBP6 HSPBP1 DERL1 RPS2 TOM1L1 MARCH6 NKD2 RNF139 MOB1B UBE2C TOPORS STRADA"
5.31747381074202e-19,22,"203","Protein kinase regulator activity ","DBF4 CCNY FAM20A GPRC5D CCNC CKS2 RPLP1 ETAA1 CCNL1 GPRC5C CKS1B TCL1B MTCP1 CCNL2 CCNQ SPDYA MLST8 STRADA TRIB2 TOM1L1 DAZAP2 FAF1"
4.98212949197714e-17,16,"94","Kinase activator activity ","DBF4 FAM20A GPRC5D CKS2 RPLP1 ETAA1 GPRC5C CKS1B TCL1B MTCP1 SPDYA MLST8 MOB1B STRADA TOM1L1 DAZAP2"
