drug_concept_id	drug_concept_name	personCount
19041324	Acetaminophen 325 MG Oral Tablet [Tylenol]	22303
40240688	Docusate Sodium 100 MG Oral Capsule	18501
19079524	Sodium Chloride 0.154 MEQ/ML Injectable Solution	17753
40231925	Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet	14525
19070869	Ondansetron 2 MG/ML Injectable Solution	13449
938330	Campylobacter jejuni IgM antibody level	13095
19072321	Aluminum Hydroxide 40 MG/ML / Magnesium Hydroxide 40 MG/ML / Simethicone 4 MG/ML Oral Suspension	10798
40163667	pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 10A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 11A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 12F vaccine 0.	10567
43011850	heparin sodium, porcine 5000 UNT/ML Injectable Solution	8468
40163500	Compression hosiery class II kneecap circular knit made to measure	8429
19073712	Aspirin 81 MG Delayed Release Oral Tablet	8359
19065567	Magnesium Hydroxide 80 MG/ML Oral Suspension	8150
19123106	Esomeprazole 40 MG Delayed Release Oral Capsule [Nexium]	7629
19135374	Calcium Chloride 0.0014 MEQ/ML / Potassium Chloride 0.004 MEQ/ML / Sodium Chloride 0.103 MEQ/ML / Sodium Lactate 0.028 MEQ/ML Injectable Solution	7597
1560556	Glucose 500 MG/ML Injectable Solution	7443
957134	Furosemide 10 MG/ML Injectable Solution	7365
40231041	Glucose 0.4 MG/MG Oral Gel [Glutose]	7360
19049904	Potassium Chloride 20 MEQ Extended Release Oral Tablet [Klor-Con]	7245
19016865	Glucagon 1 MG Injection [GlucaGen]	7126
19076324	Glucose 50 MG/ML Injectable Solution	6938
19123989	Albuterol 0.83 MG/ML Inhalant Solution	6924
19034073	Fentanyl 0.05 MG/ML Injectable Solution	6821
40167213	Metoprolol Tartrate 25 MG Oral Tablet	6460
19076330	Glucose 50 MG/ML / Sodium Chloride 0.0769 MEQ/ML Injectable Solution	6419
19019073	Ibuprofen 600 MG Oral Tablet	6361
40160974	0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox]	6109
1113076	Ipratropium Bromide 0.2 MG/ML Inhalant Solution	5971
40167259	POLYETHYLENE GLYCOL 3350 142 MG/ML Oral Solution	5935
40169943	Morphine Sulfate 2 MG/ML Injectable Solution	5716
1113346	Aspirin 81 MG Chewable Tablet	5655
19078921	2 ML Metoclopramide 5 MG/ML Injection	5618
40232448	Diphenhydramine Hydrochloride 25 MG Oral Tablet	5532
1112892	Aspirin 325 MG Delayed Release Oral Tablet	5452
40173071	1 ML Hydromorphone Hydrochloride 1 MG/ML Injection	5423
19046742	Aspirin 325 MG Oral Tablet	5330
40175218	Levothyroxine Sodium 0.05 MG Oral Tablet [Synthroid]	5173
1567236	3 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoLog]	5164
19074850	Cefazolin 20 MG/ML Injectable Solution	5100
