drug_concept_id,personCnt,concept_name
0,3326,No matching concept
19041324,2796,Acetaminophen 325 MG Oral Tablet [Tylenol]
19079524,2077,Sodium Chloride 0.154 MEQ/ML Injectable Solution
19072321,1941,Aluminum Hydroxide 40 MG/ML / Magnesium Hydroxide 40 MG/ML / Simethicone 4 MG/ML Oral Suspension
40240688,1871,Docusate Sodium 100 MG Oral Capsule
19019073,1837,Ibuprofen 600 MG Oral Tablet
40231925,1599,Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet
19065567,1486,Magnesium Hydroxide 80 MG/ML Oral Suspension
19070869,1380,Ondansetron 2 MG/ML Injectable Solution
938330,1318,"sennosides, USP 8.6 MG Oral Tablet"
40163500,1273,Zolpidem tartrate 5 MG Oral Tablet
19019113,1250,Lorazepam 1 MG Oral Tablet
19019072,1194,Ibuprofen 400 MG Oral Tablet
798875,1150,Clonazepam 0.5 MG Oral Tablet
40163667,1096,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 10A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 11A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 12F vaccine 0.
19129446,968,1 ML Lorazepam 2 MG/ML Cartridge
40163473,954,Trazodone Hydrochloride 50 MG Oral Tablet
19019114,947,Lorazepam 2 MG Oral Tablet
40163868,902,1 ML Ketorolac Tromethamine 30 MG/ML Prefilled Syringe
40160974,866,0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox]
1154615,845,200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler
40232448,830,Diphenhydramine Hydrochloride 25 MG Oral Tablet
19123989,819,Albuterol 0.83 MG/ML Inhalant Solution
19123106,818,Esomeprazole 40 MG Delayed Release Oral Capsule [Nexium]
43011850,799,"heparin sodium, porcine 5000 UNT/ML Injectable Solution"
19020053,789,Acetaminophen 500 MG Oral Tablet
40167259,780,POLYETHYLENE GLYCOL 3350 142 MG/ML Oral Solution
19031564,761,Clonazepam 1 MG Oral Tablet [Klonopin]
19019112,754,Lorazepam 0.5 MG Oral Tablet
19077513,753,Folic Acid 1 MG Oral Tablet
19076330,739,Glucose 50 MG/ML / Sodium Chloride 0.0769 MEQ/ML Injectable Solution
19078921,712,2 ML Metoclopramide 5 MG/ML Injection
40170012,687,Morphine Sulfate 4 MG/ML Injectable Solution
40232756,685,Oxycodone Hydrochloride 5 MG Oral Tablet
19131157,682,dexpanthenol 2 MG/ML / Niacinamide 100 MG/ML / Riboflavin 2 MG/ML / Thiamine 100 MG/ML / Vitamin B6 2 MG/ML Injectable Solution
19076324,674,Glucose 50 MG/ML Injectable Solution
19075034,674,Cephalexin 500 MG Oral Capsule
19077241,670,Famotidine 20 MG Oral Tablet
19073712,661,Aspirin 81 MG Delayed Release Oral Tablet
19027427,657,Haloperidol 5 MG/ML Injectable Solution
19073777,656,Azithromycin 250 MG Oral Tablet
19019419,645,Ondansetron 4 MG Oral Tablet
