drug_concept_id,personCnt,concept_name
0,462742,No matching concept
19041324,327157,Acetaminophen 325 MG Oral Tablet [Tylenol]
19079524,274314,Sodium Chloride 0.154 MEQ/ML Injectable Solution
40240688,245874,Docusate Sodium 100 MG Oral Capsule
40231925,224075,Acetaminophen 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet
19070869,190041,Ondansetron 2 MG/ML Injectable Solution
19019073,158976,Ibuprofen 600 MG Oral Tablet
938330,141973,"sennosides, USP 8.6 MG Oral Tablet"
19072321,134722,Aluminum Hydroxide 40 MG/ML / Magnesium Hydroxide 40 MG/ML / Simethicone 4 MG/ML Oral Suspension
40163500,111111,Zolpidem tartrate 5 MG Oral Tablet
19065567,108834,Magnesium Hydroxide 80 MG/ML Oral Suspension
19076330,103589,Glucose 50 MG/ML / Sodium Chloride 0.0769 MEQ/ML Injectable Solution
40163667,102876,pneumococcal capsular polysaccharide type 1 vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 10A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 11A vaccine 0.05 MG/ML / pneumococcal capsular polysaccharide type 12F vaccine 0.
19135374,98233,Calcium Chloride 0.0014 MEQ/ML / Potassium Chloride 0.004 MEQ/ML / Sodium Chloride 0.103 MEQ/ML / Sodium Lactate 0.028 MEQ/ML Injectable Solution
19076324,96510,Glucose 50 MG/ML Injectable Solution
19123989,91541,Albuterol 0.83 MG/ML Inhalant Solution
43011850,82316,"heparin sodium, porcine 5000 UNT/ML Injectable Solution"
19034073,82240,Fentanyl 0.05 MG/ML Injectable Solution
40221904,79473,Acetaminophen 300 MG / Codeine Phosphate 30 MG Oral Tablet
19073712,78549,Aspirin 81 MG Delayed Release Oral Tablet
19019072,77676,Ibuprofen 400 MG Oral Tablet
19078921,76636,2 ML Metoclopramide 5 MG/ML Injection
40169943,75624,Morphine Sulfate 2 MG/ML Injectable Solution
40163868,73091,1 ML Ketorolac Tromethamine 30 MG/ML Prefilled Syringe
957134,71961,Furosemide 10 MG/ML Injectable Solution
19123106,71540,Esomeprazole 40 MG Delayed Release Oral Capsule [Nexium]
40232448,71265,Diphenhydramine Hydrochloride 25 MG Oral Tablet
19049904,70392,Potassium Chloride 20 MEQ Extended Release Oral Tablet [Klor-Con]
1560556,68350,Glucose 500 MG/ML Injectable Solution
40231041,67010,Glucose 0.4 MG/MG Oral Gel [Glutose]
40160974,66514,0.4 ML Enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox]
40167259,66492,POLYETHYLENE GLYCOL 3350 142 MG/ML Oral Solution
1113076,66257,Ipratropium Bromide 0.2 MG/ML Inhalant Solution
40232756,64919,Oxycodone Hydrochloride 5 MG Oral Tablet
19016865,64407,Glucagon 1 MG Injection [GlucaGen]
19076953,64382,Erythromycin 0.005 MG/MG Ophthalmic Ointment
40173071,63164,1 ML Hydromorphone Hydrochloride 1 MG/ML Injection
968985,61840,Calcium Chloride 0.001 MEQ/ML / Glucose 50 MG/ML / Potassium Chloride 0.004 MEQ/ML / Sodium Chloride 0.103 MEQ/ML / Sodium Lactate 0.028 MEQ/ML Injectable Solution
19074850,61597,Cefazolin 20 MG/ML Injectable Solution
19020053,60481,Acetaminophen 500 MG Oral Tablet
40167213,59578,Metoprolol Tartrate 25 MG Oral Tablet
1112892,58653,Aspirin 325 MG Delayed Release Oral Tablet
40170012,58308,Morphine Sulfate 4 MG/ML Injectable Solution
19046742,57658,Aspirin 325 MG Oral Tablet
19019050,56625,Ibuprofen 20 MG/ML Oral Suspension
19131157,55598,dexpanthenol 2 MG/ML / Niacinamide 100 MG/ML / Riboflavin 2 MG/ML / Thiamine 100 MG/ML / Vitamin B6 2 MG/ML Injectable Solution
19077241,55448,Famotidine 20 MG Oral Tablet
19041823,55021,Bisacodyl 10 MG Rectal Suppository [Bisac-Evac]
1154615,54692,200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler
40231802,54633,1 ML Diphenhydramine Hydrochloride 50 MG/ML Prefilled Syringe
40129954,54257,Lanolin Topical Ointment
1113346,53650,Aspirin 81 MG Chewable Tablet
19075034,53613,Cephalexin 500 MG Oral Capsule
19093879,50616,Magnesium Sulfate 4 MEQ/ML Injectable Solution
19019419,48719,Ondansetron 4 MG Oral Tablet
43011870,48652,"0.5 ML heparin sodium, porcine 10000 UNT/ML Cartridge"
1326142,47776,Oxytocin 0.02 UNT/ML Injectable Solution
19059056,47383,Aspirin 81 MG Oral Tablet
19075601,46998,clopidogrel 75 MG Oral Tablet
40167218,46654,Metoprolol Tartrate 50 MG Oral Tablet
19078106,46621,Hydrochlorothiazide 25 MG Oral Tablet
1567236,45130,"3 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoLog]"
929889,44910,lansoprazole 30 MG Delayed Release Oral Capsule
19044785,44096,0.5 ML Vitamin K 1 2 MG/ML Prefilled Syringe
1707773,44067,Vancomycin 5 MG/ML Injectable Solution
1332419,43965,Amlodipine 5 MG Oral Tablet
993653,43026,Magnesium Oxide 400 MG Oral Tablet
19134227,42883,Witch Hazel 500 MG/ML Medicated Pad
19080217,42836,pantoprazole 40 MG Delayed Release Oral Tablet
1127433,41811,Acetaminophen 325 MG Oral Tablet
19072159,41780,Acetaminophen 32 MG/ML Oral Suspension
40163867,41312,1 ML Ketorolac Tromethamine 15 MG/ML Prefilled Syringe
