#fa_symbol	hit_symbol	score	fa_set	fa_iri	hit_iri
PALB2	FBXW2	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/26190
PALB2	FBXW9	0.333333	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/84261
PALB2	DPM3	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/54344
PALB2	KIAA0825	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/285600
PALB2	PGAP3	0.333333	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/93210
PALB2	OTUD7B	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/56957
PALB2	FAAP100	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/80233
PALB2	MCAT	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/27349
PALB2	PPID	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/5481
PALB2	LRRC47	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/57470
PALB2	WDR27	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/253769
PALB2	NTHL1	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/4913
PALB2	RGL2	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/5863
PALB2	TMEM230	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/29058
PALB2	LYSMD1	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/388695
PALB2	C2orf68	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/388969
PALB2	LRRC41	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/10489
PALB2	C16orf46	0.333333	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/123775
PALB2	ZNF384	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/171017
PALB2	EMC7	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/56851
PALB2	MUT	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/79728	http://www.ncbi.nlm.nih.gov/gene/4594
SLX4	NOB1	0.25	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/84464	http://www.ncbi.nlm.nih.gov/gene/28987
SLX4	STK32C	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/84464	http://www.ncbi.nlm.nih.gov/gene/282974
SLX4	MIS18A	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/84464	http://www.ncbi.nlm.nih.gov/gene/54069
SLX4	TMEM203	0.2	effector_proteins	http://www.ncbi.nlm.nih.gov/gene/84464	http://www.ncbi.nlm.nih.gov/gene/94107
