name,uri,score
insulin,ncbigene:3630,15
GLP-1,ncbigene:2641,12
HNF1A,ncbigene:6927,12
PAI-1,ncbigene:5054,12
TCF7L2,ncbigene:6934,12
TNF-alpha,ncbigene:7124,12
CRP,ncbigene:1401,12
ET-1,ncbigene:1906,12
adiponectin,ncbigene:9370,12
glucokinase,ncbigene:2645,12
aldose reductase,ncbigene:231,12
TCF,ncbigene:3172,11
leptin,ncbigene:3952,11
FGF21,ncbigene:26291,11
insulin receptor,ncbigene:3643,11
apoA-I,ncbigene:335,11
SAA,ncbigene:6288,11
beta 2-microglobulin,ncbigene:567,11
UCP3,ncbigene:7352,11
CD34,ncbigene:947,11
CD36,ncbigene:948,11
adiponectin,ncbigene:11450,11
ABCG1,ncbigene:9619,11
GLUT2,ncbigene:25351,11
fibrinogen,ncbigene:2244,11
irisin,ncbigene:252995,11
TGF-beta,ncbigene:7040,11
alpha-glucosidase,ncbigene:6476,11
PTPRD,ncbigene:5789,11
amylin,ncbigene:3375,11
t-PA,ncbigene:5327,11
VEGF,ncbigene:7422,11
CCK,ncbigene:885,11
PTPN22,ncbigene:26191,11
IL-1,ncbigene:3552,11
GDF-15,ncbigene:9518,11
TNF-beta,ncbigene:4049,11
Lp-PLA2,ncbigene:7941,11
GFR,ncbigene:9771,11
IGF-I,ncbigene:3479,11
SHBG,ncbigene:6462,11
PDX-1,ncbigene:3651,11
ADRB3,ncbigene:155,11
PPARgamma,ncbigene:5468,11
GHRH,ncbigene:2691,11
GIP,ncbigene:2695,11
SUR1,ncbigene:6833,11
apoA-IV,ncbigene:337,11
ICAM-1,ncbigene:3383,11
insulin,ncbigene:704534,11
insulin,ncbigene:493804,11
ACE,ncbigene:1636,11
DPP-4,ncbigene:1803,11
ERalpha,ncbigene:24890,11
CD11c,ncbigene:3687,11
GLUT1,ncbigene:6513,11
PGC-1a,ncbigene:10891,11
IRS-1,ncbigene:3667,11
GLUT2,ncbigene:6514,11
VCAM-1,ncbigene:7412,11
glucagon receptor,ncbigene:2642,11
apoB,ncbigene:338,11
transferrin,ncbigene:7018,11
